endpoint,endpoint_display,endpoint_tier,endpoint_tier_display,n_samples_max,task,task_display,assay_or_source,label_definition,splitting_scheme
HRD_LOH,HRD LOH,supplement,Supplement,772,regression,Regression,TCGA-BRCA HRD labels with MC3 mutation features,Loss-of-heterozygosity component of homologous recombination deficiency.,5 outer folds with inner validation tuning and pooled out-of-fold test predictions where model-based
HRD_LST,HRD LST,supplement,Supplement,772,regression,Regression,TCGA-BRCA HRD labels with MC3 mutation features,Large-scale transition component of homologous recombination deficiency.,5 outer folds with inner validation tuning and pooled out-of-fold test predictions where model-based
HRD_Score,HRD score,main,Main,772,regression,Regression,TCGA-BRCA HRD labels with MC3 mutation features,continuous HRD score,5 outer folds with inner validation tuning and pooled out-of-fold test predictions where model-based
HRD_TAI,HRD TAI,supplement,Supplement,772,regression,Regression,TCGA-BRCA HRD labels with MC3 mutation features,Telomeric allelic imbalance component of homologous recombination deficiency.,5 outer folds with inner validation tuning and pooled out-of-fold test predictions where model-based
OS,Overall survival,main,Main,9986,survival,Survival,TCGA MC3 clinical endpoint panel,overall survival time-to-event endpoint,5 outer folds with inner validation tuning and pooled out-of-fold test predictions where model-based
PARPi7,PARPi7,supplement,Supplement,772,regression,Regression,TCGA-BRCA HRD labels with MC3 mutation features,Continuous PARPi7 HRD-related score.,5 outer folds with inner validation tuning and pooled out-of-fold test predictions where model-based
PFI,PFI survival,supplement,Supplement,9857,survival,Survival,TCGA MC3 clinical endpoint panel,progression-free interval time-to-event endpoint,5 outer folds with inner validation tuning and pooled out-of-fold test predictions where model-based
cancer_type_top20,Cancer type (top 20),main,Main,8800,multiclass,Multiclass classification,TCGA MC3 clinical endpoint panel,fixed top-20 TCGA cancer type classification,5 outer folds with inner validation tuning and pooled out-of-fold test predictions where model-based
damage_class,Kucab damage class,main,Main,259,multiclass_grouped,Grouped multiclass,Kucab mutagen-treated clone mutation catalogues,curated DNA damage class from Kucab treatment metadata,5 outer folds with inner validation tuning and pooled out-of-fold test predictions where model-based
eCARD,eCARD,supplement,Supplement,772,regression,Regression,TCGA-BRCA HRD labels with MC3 mutation features,Continuous eCARD HRD-related endpoint.,5 outer folds with inner validation tuning and pooled out-of-fold test predictions where model-based
hrd_binary_24,HRD24 high/low,main,Main,772,binary,Binary classification,TCGA-BRCA HRD labels with MC3 mutation features,HRD-high versus HRD-low at threshold 24,5 outer folds with inner validation tuning and pooled out-of-fold test predictions where model-based
hrd_binary_33,HRD33 high/low,main,Main,772,binary,Binary classification,TCGA-BRCA HRD labels with MC3 mutation features,HRD-high versus HRD-low at threshold 33,5 outer folds with inner validation tuning and pooled out-of-fold test predictions where model-based
hrd_binary_42,HRD42 high/low,main,Main,772,binary,Binary classification,TCGA-BRCA HRD labels with MC3 mutation features,HRD-high versus HRD-low at threshold 42,5 outer folds with inner validation tuning and pooled out-of-fold test predictions where model-based
