Feature ordinal,Feature,Bio MAF v4 block,Recommended status,Feature count origin,What this feature measures,Why this feature is in v4,Plain-English interpretation,Source / grounding,Downloaded/local provenance,Likely reviewer criticism,Response / rationale,Signature separation note
1,vep_impact_count__high,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,Count of tumor mutations with impact = high. In plain terms: VEP severity label for how strongly the variant is expected to affect a transcript or protein. This feature measures how often the tumor has that category.,Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
2,vep_impact_fraction__high,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,Fraction of tumor mutations with impact = high. In plain terms: VEP severity label for how strongly the variant is expected to affect a transcript or protein. This feature measures how often the tumor has that category.,Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
3,vep_impact_count__moderate,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,Count of tumor mutations with impact = moderate. In plain terms: VEP severity label for how strongly the variant is expected to affect a transcript or protein. This feature measures how often the tumor has that category.,Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
4,vep_impact_fraction__moderate,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,Fraction of tumor mutations with impact = moderate. In plain terms: VEP severity label for how strongly the variant is expected to affect a transcript or protein. This feature measures how often the tumor has that category.,Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
5,vep_impact_count__low,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,Count of tumor mutations with impact = low. In plain terms: VEP severity label for how strongly the variant is expected to affect a transcript or protein. This feature measures how often the tumor has that category.,Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
6,vep_impact_fraction__low,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,Fraction of tumor mutations with impact = low. In plain terms: VEP severity label for how strongly the variant is expected to affect a transcript or protein. This feature measures how often the tumor has that category.,Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
7,vep_impact_count__modifier,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,Count of tumor mutations with impact = modifier. In plain terms: VEP severity label for how strongly the variant is expected to affect a transcript or protein. This feature measures how often the tumor has that category.,Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
8,vep_impact_fraction__modifier,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,Fraction of tumor mutations with impact = modifier. In plain terms: VEP severity label for how strongly the variant is expected to affect a transcript or protein. This feature measures how often the tumor has that category.,Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
9,vep_impact_count__unknown,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,Count of tumor mutations with impact = unknown. In plain terms: VEP severity label for how strongly the variant is expected to affect a transcript or protein. This feature measures how often the tumor has that category.,Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
10,vep_impact_fraction__unknown,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,Fraction of tumor mutations with impact = unknown. In plain terms: VEP severity label for how strongly the variant is expected to affect a transcript or protein. This feature measures how often the tumor has that category.,Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
