gene,oncokb_gene_type,oncokb_source_count,oncokb_annotated,cosmic_cgc_v99_flag_in_oncokb,intogen_2024_driver,vogelstein_2013,cancer_hotspots_v3_gene,primary_driver_evidence_count,selected_for_v4_exact_gene_block,selection_rule,role_interpretation
ABL1,ONCOGENE,7,True,True,True,True,False,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
ABL2,ONCOGENE,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
ACKR3,ONCOGENE_AND_TSG,2,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
ACVR1,ONCOGENE,4,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
ACVR1B,TSG,4,True,True,True,True,False,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
ACVR2A,ONCOGENE_AND_TSG,2,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
AFDN,TSG,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
AFF4,ONCOGENE,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
AKT1,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
AKT2,ONCOGENE,6,True,True,False,False,True,2,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
AKT3,ONCOGENE,5,True,False,True,False,True,2,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
ALK,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
