endpoint,tumour_type,n_patients,included,reason,n_run_patients,n_run_events
HRD_Score,0.0,15,True,primary MuAt-compatible task,15,647
HRD_Score,1.0,3,True,primary MuAt-compatible task,3,88
HRD_Score,10.0,27,True,primary MuAt-compatible task,27,3763
HRD_Score,11.0,13,True,primary MuAt-compatible task,13,828
HRD_Score,12.0,22,True,primary MuAt-compatible task,22,1565
HRD_Score,13.0,26,True,primary MuAt-compatible task,26,1733
HRD_Score,14.0,18,True,primary MuAt-compatible task,18,929
HRD_Score,15.0,12,True,primary MuAt-compatible task,12,2063
HRD_Score,16.0,15,True,primary MuAt-compatible task,15,5782
HRD_Score,17.0,14,True,primary MuAt-compatible task,14,817
HRD_Score,18.0,19,True,primary MuAt-compatible task,19,4766
HRD_Score,19.0,9,True,primary MuAt-compatible task,9,603
HRD_Score,2.0,7,True,primary MuAt-compatible task,7,403
HRD_Score,20.0,10,True,primary MuAt-compatible task,10,738
HRD_Score,21.0,21,True,primary MuAt-compatible task,21,8321
HRD_Score,22.0,16,True,primary MuAt-compatible task,16,2958
HRD_Score,23.0,15,True,primary MuAt-compatible task,15,1353
HRD_Score,24.0,8,True,primary MuAt-compatible task,8,657
HRD_Score,25.0,13,True,primary MuAt-compatible task,13,2349
HRD_Score,26.0,24,True,primary MuAt-compatible task,24,2294
HRD_Score,27.0,14,True,primary MuAt-compatible task,14,1132
HRD_Score,28.0,15,True,primary MuAt-compatible task,15,2165
HRD_Score,29.0,11,True,primary MuAt-compatible task,11,976
HRD_Score,3.0,16,True,primary MuAt-compatible task,16,1140
HRD_Score,30.0,10,True,primary MuAt-compatible task,10,745
HRD_Score,31.0,11,True,primary MuAt-compatible task,11,1256
HRD_Score,32.0,13,True,primary MuAt-compatible task,13,1852
HRD_Score,33.0,13,True,primary MuAt-compatible task,13,1137
HRD_Score,34.0,7,True,primary MuAt-compatible task,7,856
HRD_Score,35.0,12,True,primary MuAt-compatible task,12,844
HRD_Score,36.0,9,True,primary MuAt-compatible task,9,945
HRD_Score,37.0,10,True,primary MuAt-compatible task,10,829
HRD_Score,38.0,5,True,primary MuAt-compatible task,5,577
HRD_Score,39.0,11,True,primary MuAt-compatible task,11,1346
HRD_Score,4.0,36,True,primary MuAt-compatible task,36,1496
HRD_Score,40.0,11,True,primary MuAt-compatible task,11,975
HRD_Score,41.0,6,True,primary MuAt-compatible task,6,721
HRD_Score,42.0,13,True,primary MuAt-compatible task,13,2075
HRD_Score,43.0,4,True,primary MuAt-compatible task,4,399
HRD_Score,44.0,8,True,primary MuAt-compatible task,8,704
HRD_Score,45.0,1,True,primary MuAt-compatible task,1,80
HRD_Score,46.0,3,True,primary MuAt-compatible task,3,463
HRD_Score,47.0,3,True,primary MuAt-compatible task,3,255
HRD_Score,48.0,4,True,primary MuAt-compatible task,4,497
HRD_Score,49.0,6,True,primary MuAt-compatible task,6,871
HRD_Score,5.0,13,True,primary MuAt-compatible task,13,671
HRD_Score,50.0,5,True,primary MuAt-compatible task,5,623
HRD_Score,51.0,8,True,primary MuAt-compatible task,8,1015
HRD_Score,52.0,2,True,primary MuAt-compatible task,2,215
HRD_Score,53.0,6,True,primary MuAt-compatible task,6,704
HRD_Score,54.0,3,True,primary MuAt-compatible task,3,380
HRD_Score,55.0,6,True,primary MuAt-compatible task,6,1125
HRD_Score,56.0,2,True,primary MuAt-compatible task,2,165
HRD_Score,57.0,1,True,primary MuAt-compatible task,1,136
HRD_Score,58.0,4,True,primary MuAt-compatible task,4,387
HRD_Score,59.0,4,True,primary MuAt-compatible task,4,616
HRD_Score,6.0,30,True,primary MuAt-compatible task,30,4899
HRD_Score,60.0,2,True,primary MuAt-compatible task,2,783
HRD_Score,61.0,2,True,primary MuAt-compatible task,2,224
HRD_Score,62.0,3,True,primary MuAt-compatible task,3,441
HRD_Score,63.0,3,True,primary MuAt-compatible task,3,457
HRD_Score,64.0,3,True,primary MuAt-compatible task,3,529
HRD_Score,65.0,2,True,primary MuAt-compatible task,2,260
HRD_Score,66.0,1,True,primary MuAt-compatible task,1,116
HRD_Score,67.0,5,True,primary MuAt-compatible task,5,661
HRD_Score,68.0,4,True,primary MuAt-compatible task,4,535
HRD_Score,69.0,2,True,primary MuAt-compatible task,2,363
HRD_Score,7.0,17,True,primary MuAt-compatible task,17,2691
HRD_Score,70.0,3,True,primary MuAt-compatible task,3,623
HRD_Score,71.0,3,True,primary MuAt-compatible task,3,448
HRD_Score,72.0,6,True,primary MuAt-compatible task,6,3338
HRD_Score,73.0,2,True,primary MuAt-compatible task,2,324
HRD_Score,74.0,2,True,primary MuAt-compatible task,2,453
HRD_Score,75.0,3,True,primary MuAt-compatible task,3,428
HRD_Score,76.0,4,True,primary MuAt-compatible task,4,650
HRD_Score,77.0,4,True,primary MuAt-compatible task,4,550
HRD_Score,78.0,1,True,primary MuAt-compatible task,1,99
HRD_Score,79.0,4,True,primary MuAt-compatible task,4,741
HRD_Score,8.0,28,True,primary MuAt-compatible task,28,9240
HRD_Score,82.0,1,True,primary MuAt-compatible task,1,386
HRD_Score,83.0,2,True,primary MuAt-compatible task,2,271
HRD_Score,84.0,1,True,primary MuAt-compatible task,1,153
HRD_Score,85.0,3,True,primary MuAt-compatible task,3,717
HRD_Score,89.0,1,True,primary MuAt-compatible task,1,194
HRD_Score,9.0,17,True,primary MuAt-compatible task,17,1188
